rank,word,reading_kana,reading_romaji,part_of_speech,meaning,labels,example_1,example_2,example_3
527,水曜日,すいようび,suiyoubi,Noun,Wednesday,jlpt_n5,,,
528,スカート,,sukaato,"Noun, Katakana",skirt,jlpt_n5,,,
529,好き,すき,suki,"Noun, Adjective, な-adjective",like,jlpt_n5,,,
530,少し,すこし,sukoshi,"Noun, Adverb",a little (bit); small quantity; few; short distance,jlpt_n5,,,
531,少ない,すくない,sukunai,い-adjective,few; a little; scarce; insufficient; seldom,jlpt_n5,,,
532,住む,すむ,sumu,"Verb, Godan verb, Intransitive verb",to live in; to reside; to inhabit; to dwell; to abide,jlpt_n5,,,
533,スポーツ,,supootsu,"Noun, Katakana",sport; sports,jlpt_n5,,,
534,スプーン,,supuun,"Noun, Katakana",spoon,jlpt_n5,,,
535,スリッパ,,surippa,"Noun, Katakana",slipper; slippers,jlpt_n5,,,
536,ストーブ,,sutoobu,"Noun, Katakana",heater; stove,jlpt_n5,,,
537,吸う,すう,suu,"Verb, Godan verb, Transitive verb","to smoke, to suck",jlpt_n5,,,
538,座る,すわる,suwaru,"Verb, Godan verb, Intransitive verb",to sit,jlpt_n5,,,
539,涼しい,すずしい,suzushii,"Adjective, い-adjective","refreshing, cool",jlpt_n5,,,
540,たばこ,,tabako,Noun,tobacco; cigarette,jlpt_n5,,,
541,食べ物,たべもの,tabemono,Noun,food,jlpt_n5,,,
542,食べる,たべる,taberu,"Verb, Ichidan verb, Intransitive verb",to eat,jlpt_n5,,,
543,多分,たぶん,tabun,"Adjective, な-adjective, Adverb",perhaps; probably,jlpt_n5,,,
544,大変,たいへん,taihen,"Noun, Adjective, な-adjective, Adverb",very; greatly; terribly; serious; difficult,jlpt_n5,,,
545,大切,たいせつ,taisetsu,"Noun, Adjective, な-adjective",important; necessary; indispensable; beloved,jlpt_n5,,,
546,大使館,たいしかん,taishikan,Noun,embassy,jlpt_n5,,,
547,高い,たかい,takai,"Adjective, い-adjective",high; tall; expensive; above average,jlpt_n5,,,
548,沢山,たくさん,takusan,"Noun, Adverbial Noun, Adjective, な-adjective",many,jlpt_n5,,,
549,タクシー,,takushii,"Noun, Katakana",taxi,jlpt_n5,,,
550,卵,たまご,tamago,Noun,eggs; egg,jlpt_n5,,,
551,誕生日,たんじょうび,tanjoubi,Noun,birthday,jlpt_n5,,,
552,頼む,たのむ,tanomu,"Verb, Godan verb, Transitive verb",to ask,jlpt_n5,,,
553,楽しい,たのしい,tanoshii,"Adjective, い-adjective",enjoyable; fun,jlpt_n5,,,
554,縦,たて,tate,Noun,"length,height",jlpt_n5,,,
555,建物,たてもの,tatemono,Noun,building,jlpt_n5,,,
556,立つ,たつ,tatsu,"Verb, Godan verb, Intransitive verb",to stand; to stand up​,jlpt_n5,,,
557,手,て,te,Noun,hand; arm,jlpt_n5,,,
558,テーブル,,teeburu,"Noun, Katakana",table,jlpt_n5,,,
559,テープ,,teepu,"Noun, Katakana",tape,jlpt_n5,,,
560,テープレコーダー,,teepu,"Noun, Katakana",tape recorder,jlpt_n5,,,
561,手紙,てがみ,tegami,Noun,Letter (message)​,jlpt_n5,,,
562,天気,てんき,tenki,Noun,weather; the elements,jlpt_n5,,,
563,テレビ,,terebi,"Noun, Katakana",television; TV​,jlpt_n5,,,
564,テスト,,tesuto,"Noun, Suru verb, Katakana",examination; quiz; test,jlpt_n5,,,
565,戸,と,to,Noun,Japanese style door,jlpt_n5,,,
566,飛ぶ,とぶ,tobu,"Verb, Godan verb, Intransitive verb",to fly; to hop,jlpt_n5,,,
567,トイレ,,toire,"Noun, Katakana",toilet,jlpt_n5,,,
568,時計,とけい,tokei,Noun,watch; clock; timepiece,jlpt_n5,,,
569,時,とき,toki,Noun,time; moment; occasion; chance,jlpt_n5,,,
570,時々,ときどき,tokidoki,"Noun, Adverb",sometimes; at times,jlpt_n5,,,
571,所,ところ,tokoro,"Noun, Suffix",place,jlpt_n5,,,
572,止まる,とまる,tomaru,"Verb, Godan verb, Intransitive verb",to stop; to come to a halt,jlpt_n5,,,
573,友達,ともだち,tomodachi,Noun,friend; companion,jlpt_n5,,,
574,隣,となり,tonari,Noun,next door to,jlpt_n5,,,
575,遠い,とおい,tooi,"Adjective, い-adjective",far,jlpt_n5,,,
576,十日,とおか,tooka,Noun,tenth day of the month / 10 days,jlpt_n5,,,
577,鳥,とり,tori,Noun,bird,jlpt_n5,,,
578,鶏肉,とりにく,toriniku,Noun,chicken meat,jlpt_n5,,,
579,取る,とる,toru,"Verb, Godan verb, Transitive verb",to take; to pick up; to harvest; to earn; to win; to choose,jlpt_n5,,,
580,撮る,とる,toru,"Verb, Godan verb, Transitive verb",to take a photo or record a film,jlpt_n5,,,
581,年,とし,toshi,Noun,year; age,jlpt_n5,,,
582,図書館,としょかん,toshokan,Noun,library,jlpt_n5,,,
583,次,つぎ,tsugi,Noun,next,jlpt_n5,,,
584,一日,ついたち,tsuitachi,Noun,first day of the month,jlpt_n5,,,
585,疲れる,つかれる,tsukareru,"Verb, Ichidan verb, Intransitive verb",to get tired,jlpt_n5,,,
586,使う,つかう,tsukau,"Verb, Godan verb, Transitive verb",to use,jlpt_n5,,,
587,つける,,tsukeru,"Verb, Ichidan verb, Transitive verb",to turn on,jlpt_n5,,,
588,付ける,つける,tsukeru,"Verb, Ichidan verb, Transitive verb",to attach; affix; add; apply,jlpt_n5,,,
589,着く,つく,tsuku,"Verb, Godan verb, Intransitive verb",to arrive at,jlpt_n5,,,
590,机,つくえ,tsukue,Noun,desk,jlpt_n5,,,
591,作る,つくる,tsukuru,"Verb, Godan verb, Transitive verb",to make,jlpt_n5,,,
592,詰まらない,つまらない,tsumaranai,"Adjective, い-adjective",boring,jlpt_n5,,,
593,冷たい,つめたい,tsumetai,い-adjective,cold to the touch,jlpt_n5,,,
594,勤める,つとめる,tsutomeru,"Verb, Ichidan verb, Transitive verb",to work for someone,jlpt_n5,,,
595,強い,つよい,tsuyoi,"Adjective, い-adjective",powerful,jlpt_n5,,,
596,上,うえ,ue,"Noun, Suffix",above; up; over; top; surface,jlpt_n5,,,
597,生まれる,うまれる,umareru,"Verb, Ichidan verb, Intransitive verb",to be born,jlpt_n5,,,
598,海,うみ,umi,Noun,sea,jlpt_n5,,,
599,売る,うる,uru,"Verb, Godan verb, Transitive verb",to sell,jlpt_n5,,,
600,煩い,うるさい,urusai,い-adjective,"noisy, annoying",jlpt_n5,,,
601,後ろ,うしろ,ushiro,Noun,back; behind; rear,jlpt_n5,,,
602,薄い,うすい,usui,"Adjective, い-adjective",thin; weak,jlpt_n5,,,
603,歌,うた,uta,Noun,song,jlpt_n5,,,
604,歌う,うたう,utau,"Verb, Godan verb, Intransitive verb, Transitive verb",to sing,jlpt_n5,,,
605,上着,うわぎ,uwagi,Noun,coat; tunic; jacket; outer garment,jlpt_n5,,,
606,ワイシャツ,,wai,"Noun, Katakana, Wasei",shirt,jlpt_n5,,,
607,若い,わかい,wakai,"Adjective, い-adjective",young,jlpt_n5,,,
608,分かる,わかる,wakaru,"Verb, Godan verb, Intransitive verb",to understand; to comprehend; to grasp; to see; to get; to follow,jlpt_n5,,,
609,悪い,わるい,warui,"Adjective, い-adjective",bad; poor; undesirable,jlpt_n5,,,
610,忘れる,わすれる,wasureru,"Verb, Ichidan verb, Transitive verb",to forget,jlpt_n5,,,
611,渡る,わたる,wataru,"Verb, Godan verb, Intransitive verb",to go across,jlpt_n5,,,
612,私,わたし,watashi,Pronoun,I; myself,jlpt_n5,,,
613,渡す,わたす,watasu,"Verb, Godan verb, Transitive verb",to hand over,jlpt_n5,,,
614,山,やま,yama,Noun,mountain; hill,jlpt_n5,,,
615,八百屋,やおや,yaoya,Noun,greengrocer; fruit and vegetable shop; versatile,jlpt_n5,,,
616,やる,,yaru,"Verb, Godan verb, Transitive verb",to do,jlpt_n5,,,
617,野菜,やさい,yasai,Noun,vegetable,jlpt_n5,,,
618,易しい,やさしい,yasashii,"Adjective, い-adjective","easy, simple",jlpt_n5,,,
619,安い,やすい,yasui,"Adjective, い-adjective",cheap; inexpensive,jlpt_n5,,,
620,休み,やすみ,yasumi,Noun,rest; vacation; holiday,jlpt_n5,,,
621,休む,やすむ,yasumu,"Verb, Godan verb, Intransitive verb",to be absent; to take a day off; to rest,jlpt_n5,,,
622,八つ,やっつ,yattsu,"Noun, Numeric",eight: 8,jlpt_n5,,,
623,呼ぶ,よぶ,yobu,"Verb, Godan verb, Transitive verb","to call out, to invite",jlpt_n5,,,
624,良い,いい,yoi/ii,"Adjective, い-adjective",good,jlpt_n5,,,
625,四日,よっか,yokka,Noun,fourth day of the month / 4 days,jlpt_n5,,,
626,横,よこ,yoko,Noun,"beside,side,width",jlpt_n5,,,
627,よく,,yoku,Adverb,"often, well",jlpt_n5,,,
628,読む,よむ,yomu,"Verb, Godan verb, Transitive verb",to read; to guess; to predict; to read (someone's thoughts),jlpt_n5,,,
629,夜,よる,yoru,Noun,evening; night,jlpt_n5,,,
630,四つ,よつ,yotsu,"Noun, Numeric",four; 4,jlpt_n5,,,
631,洋服,ようふく,youfuku,Noun,western clothes,jlpt_n5,,,
632,八日,ようか,youka,Noun,eighth day of the month / 8 days,jlpt_n5,,,
633,弱い,よわい,yowai,"Adjective, い-adjective",weak,jlpt_n5,,,
634,雪,ゆき,yuki,Noun,snow,jlpt_n5,,,
635,ゆっくり,,yukkuri,Adverb,slowly,jlpt_n5,,,
636,昨夜,ゆうべ,yuube,Noun,last night,jlpt_n5,,,
637,郵便局,ゆうびんきょく,yuubinkyoku,Noun,post office,jlpt_n5,,,
638,夕方,ゆうがた,yuugata,Noun,evening; dusk,jlpt_n5,,,
639,夕飯,ゆうはん,yuuhan,Noun,evening meal,jlpt_n5,,,
640,有名,ゆうめい,yuumei,"Noun, Adjective, な-adjective",famous,jlpt_n5,,,
641,雑誌,ざっし,zasshi,Noun,magazine,jlpt_n5,,,
642,全部,ぜんぶ,zenbu,"Noun, Adverbial Noun",all,jlpt_n5,,,
643,ゼロ,,zero,Noun,zero,jlpt_n5,,,
644,ズボン,,zubon,"Noun, Katakana",trousers; pants,jlpt_n5,,,
